facility_id,facility_name,facility_address,city,county,state,state_code,zip,phone,hosp_type,hosp_ownership,emergency_unit,ehr_interoperability,hosp_rating
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,HOUSTON,ALABAMA,AL,36301,(334) 793-8701,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,3
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,MARSHALL,ALABAMA,AL,35957,(256) 593-8310,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,Y,2
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,LAUDERDALE,ALABAMA,AL,35630,(256) 768-8400,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,2
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,COVINGTON,ALABAMA,AL,36467,(334) 493-3541,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,2
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,CRENSHAW,ALABAMA,AL,36049,(334) 335-3374,ACUTE CARE HOSPITALS,PROPRIETARY,Y,N,2
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,JEFFERSON,ALABAMA,AL,35235,(205) 838-3122,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,2
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,DEKALB,ALABAMA,AL,35968,(256) 845-3150,ACUTE CARE HOSPITALS,PROPRIETARY,Y,Y,3
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,SHELBY,ALABAMA,AL,35007,(205) 620-8100,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,4
10018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,JEFFERSON,ALABAMA,AL,35233,(205) 325-8100,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,Y,Y,4
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,COLBERT,ALABAMA,AL,35660,(256) 386-4556,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,3
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,DALE,ALABAMA,AL,36360,(334) 774-2601,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,Y,N,4
