zip,city,state,state_code,latitude,longitude,timezone
38732,CLEVELAND,MISSISSIPPI,MS,33.749149,-90.71329,-6
47872,ROCKVILLE,INDIANA,IN,39.758142,-87.1754,-5
50049,CHARITON,IOWA,IA,41.02891,-93.29857,-6
48463,OTISVILLE,MICHIGAN,MI,43.167457,-83.52542,-5
51063,WHITING,IOWA,IA,42.137272,-96.16648,-6
57548,LOWER BRULE,SOUTH DAKOTA,SD,44.057302,-99.54871,-6
52362,WYOMING,IOWA,IA,42.054649,-91.00591,-6
50266,WEST DES MOINES,IOWA,IA,41.581181,-93.78287,-6
53529,DANE,WISCONSIN,WI,43.228109,-89.53605,-6
36131,MONTGOMERY,ALABAMA,AL,32.233377,-86.208528,-6
56241,GRANITE FALLS,MINNESOTA,MN,44.794723,-95.56737,-6
5101,BELLOWS FALLS,VERMONT,VT,43.156451,-72.4729,-5
66418,DELIA,KANSAS,KS,39.267478,-95.94736,-6
67151,WALTON,KANSAS,KS,38.13467,-97.25509,-6
2065,OCEAN BLUFF,MASSACHUSETTS,MA,42.097219,-70.651567,-5
49279,SAND CREEK,MICHIGAN,MI,41.791959,-84.10866,-5
33514,CENTER HILL,FLORIDA,FL,28.654412,-81.98278,-5
61076,SCIOTO MILLS,ILLINOIS,IL,42.355422,-89.667939,-6
26717,ELK GARDEN,WEST VIRGINIA,WV,39.351231,-79.17606,-5
97448,JUNCTION CITY,OREGON,OR,44.204189,-123.2294,-8
80444,GEORGETOWN,COLORADO,CO,39.694915,-105.7258,-7
33810,LAKELAND,FLORIDA,FL,28.106787,-82.01033,-5
81130,CREEDE,COLORADO,CO,37.705276,-106.95429,-7
7610,ORADELL,NEW JERSEY,NJ,40.951348,-74.041234,-5
63010,ARNOLD,MISSOURI,MO,38.42727,-90.38515,-6
36581,SUNFLOWER,ALABAMA,AL,31.373999,-87.99791,-6
74013,BROKEN ARROW,OKLAHOMA,OK,36.139826,-96.029725,-6
78944,INDUSTRY,TEXAS,TX,29.975083,-96.50081,-6
79924,EL PASO,TEXAS,TX,31.901737,-106.41827,-7
76930,BARNHART,TEXAS,TX,31.148007,-101.18632,-6
88433,QUAY,NEW MEXICO,NM,34.916697,-103.778184,-7
88560,EL PASO,TEXAS,TX,31.694842,-106.299987,-7
91131,PASADENA,CALIFORNIA,CA,33.786594,-118.298662,-8
87402,FARMINGTON,NEW MEXICO,NM,36.785816,-108.14505,-7
64639,DE WITT,MISSOURI,MO,39.382255,-93.22876,-6
79464,LUBBOCK,TEXAS,TX,33.489623,-102.010895,-6
68128,LA VISTA,NEBRASKA,NE,41.183458,-96.05318,-6
92399,YUCAIPA,CALIFORNIA,CA,34.033564,-117.03776,-8
49895,WETMORE,MICHIGAN,MI,46.191294,-86.64901,-5
98228,BELLINGHAM,WASHINGTON,WA,48.814753,-121.988548,-8
54626,EASTMAN,WISCONSIN,WI,43.217285,-91.05946,-6
47741,EVANSVILLE,INDIANA,IN,37.997128,-87.574963,-6
62716,SPRINGFIELD,ILLINOIS,IL,39.848201,-89.536369,-6
44372,AKRON,OHIO,OH,41.128705,-81.53999,-5
72348,HUGHES,ARKANSAS,AR,34.935197,-90.44153,-6
46275,INDIANAPOLIS,INDIANA,IN,39.779492,-86.132837,-5
79986,EL PASO,TEXAS,TX,31.694842,-106.299987,-7
50453,LELAND,IOWA,IA,43.363881,-93.6468,-6
56101,WINDOM,MINNESOTA,MN,43.870469,-95.13275,-6
35404,TUSCALOOSA,ALABAMA,AL,33.217168,-87.49461,-6
58004,AMENIA,NORTH DAKOTA,ND,47.028291,-97.25029,-6
59348,SONNETTE,MONTANA,MT,45.365698,-105.95632,-7
16804,STATE COLLEGE,PENNSYLVANIA,PA,40.972229,-77.760172,-5
59927,OLNEY,MONTANA,MT,48.595224,-114.70843,-7
33781,PINELLAS PARK,FLORIDA,FL,27.839802,-82.71094,-5
60082,TECHNY,ILLINOIS,IL,42.116377,-87.812064,-6
24569,LONG ISLAND,VIRGINIA,VA,37.041512,-79.1278,-5
51445,IDA GROVE,IOWA,IA,42.332677,-95.46823,-6
7962,MORRISTOWN,NEW JERSEY,NJ,40.867331,-74.578269,-5
52065,NEW VIENNA,IOWA,IA,42.559621,-91.10572,-6
20069,WASHINGTON,DISTRICT OF COLUMBIA,DC,38.893311,-77.014647,-5
62684,SHERMAN,ILLINOIS,IL,39.901588,-89.58805,-6
28815,ASHEVILLE,NORTH CAROLINA,NC,35.620335,-82.528558,-5
67863,MARIENTHAL,KANSAS,KS,38.551037,-101.22087,-6
68314,BEE,NEBRASKA,NE,41.009984,-97.03437,-6
13084,LA FAYETTE,NEW YORK,NY,42.883503,-76.10983,-5
56024,EAGLE LAKE,MINNESOTA,MN,44.153696,-93.86918,-6
70514,BALDWIN,LOUISIANA,LA,29.841827,-91.54679,-6
27937,GATES,NORTH CAROLINA,NC,36.501152,-76.78039,-5
81089,WALSENBURG,COLORADO,CO,37.621071,-104.80456,-7
24614,GRUNDY,VIRGINIA,VA,37.296213,-82.05775,-5
83851,PLUMMER,IDAHO,ID,47.322203,-116.88379,-8
25601,LOGAN,WEST VIRGINIA,WV,37.833826,-82.00011,-5
95957,MERIDIAN,CALIFORNIA,CA,39.070323,-121.83065,-8
25841,FLAT TOP,WEST VIRGINIA,WV,37.557975,-81.09537,-5
99513,ANCHORAGE,ALASKA,AK,61.214877,-149.88617,-9
41702,HAZARD,KENTUCKY,KY,37.320076,-83.206495,-5
93225,FRAZIER PARK,CALIFORNIA,CA,34.815266,-119.00404,-8
18914,CHALFONT,PENNSYLVANIA,PA,40.282406,-75.20657,-5
94244,SACRAMENTO,CALIFORNIA,CA,38.377411,-121.444429,-8
27512,CARY,NORTH CAROLINA,NC,35.808387,-78.839488,-5
